"","degree","density","marketsales","totalmarketsales"
"1",19,0.373684210526316,5,1977
"2",24,0.336666666666667,25,12198
"3",51,0.324283559577677,27,9343
"4",27,0.383597883597884,23,6070
"5",20,0.485714285714286,5,1744
"6",30,0.30752688172043,2,713
"7",16,0.676470588235294,0,0
"8",10,0.654545454545455,8,2766
"9",18,0.362573099415205,0,58
"10",26,0.444444444444444,1,301
"11",5,0.6,0,13
"12",15,0.491666666666667,10,3546
"13",12,0.448717948717949,1,321
"14",36,0.364864864864865,10,3630
"15",19,0.468421052631579,3,830
"16",20,0.623809523809524,18,5988
"17",20,0.595238095238095,4,1622
"18",16,0.375,0,39
"19",43,0.319238900634249,10,4361
"20",19,0.473684210526316,3,1194
"21",13,0.571428571428571,3,1091
"22",14,0.514285714285714,1,408
"23",5,0.733333333333333,10,5017
"24",23,0.347826086956522,4,1385
"25",11,0.666666666666667,4,918
"26",37,0.374110953058321,38,15833
"27",11,0.5,1,406
"28",36,0.36036036036036,3,1217
"29",14,0.59047619047619,22,10843
"30",9,0.577777777777778,0,0
"31",27,0.362433862433862,7,2874
"32",16,0.338235294117647,1,420
"33",38,0.337381916329285,12,4553
"34",22,0.41501976284585,0,1
"35",16,0.477941176470588,4,1169
"36",17,0.42483660130719,4,1174
"37",20,0.380952380952381,16,7351
"38",18,0.467836257309941,7,2851
"39",10,0.545454545454545,1,71
"40",5,0.6,2,819
"41",39,0.321794871794872,6,2383
"42",8,0.694444444444444,2,428
"43",29,0.496551724137931,18,5664
"44",45,0.365217391304348,6,2327
"45",28,0.320197044334975,13,2398
"46",16,0.507352941176471,8,2664
"47",19,0.531578947368421,2,832
"48",22,0.355731225296443,3,1570
"49",47,0.299645390070922,14,5181
"50",20,0.438095238095238,16,5215
"51",9,0.688888888888889,1,304
"52",45,0.288888888888889,20,6614
"53",13,0.494505494505495,2,1128
"54",7,0.5,1,389
"55",5,0.466666666666667,0,0
"56",19,0.363157894736842,4,1513
"57",17,0.65359477124183,4,1637
"58",14,0.552380952380952,3,1092
"59",22,0.41501976284585,1,355
"60",16,0.573529411764706,33,15256
"61",15,0.633333333333333,0,39
"62",22,0.399209486166008,1,380
"63",9,0.622222222222222,19,6438
"64",21,0.649350649350649,9,5035
"65",30,0.339784946236559,11,3471
"66",17,0.535947712418301,11,2661
"67",32,0.314393939393939,26,4810
"68",6,0.476190476190476,0,0
"69",8,0.583333333333333,5,1639
"70",42,0.385382059800664,10,3408
"71",8,0.583333333333333,2,795
"72",10,0.509090909090909,6,2066
"73",33,0.36541889483066,34,10600
"74",9,0.6,39,16301
"75",26,0.376068376068376,9,3265
"76",38,0.399460188933873,12,4587
"77",35,0.252380952380952,2,1486
"78",14,0.6,25,12595
"79",8,0.75,8,2448
"80",18,0.461988304093567,2,766
"81",14,0.495238095238095,4,1202
"82",8,0.805555555555556,0,0
"83",21,0.54978354978355,8,2420
"84",10,0.618181818181818,3,798
"85",35,0.471428571428571,7,2422
"86",10,0.545454545454545,8,3136
"87",19,0.5,8,3044
"88",21,0.467532467532468,2,740
"89",22,0.324110671936759,5,1759
"90",35,0.33968253968254,8,2840
"91",5,0.933333333333333,7,1784
"92",30,0.348387096774194,11,3877
"93",14,0.6,2,630
"94",14,0.428571428571429,0,0
"95",6,0.761904761904762,0,0
"96",11,0.712121212121212,1,464
"97",47,0.341312056737589,11,3766
"98",24,0.363333333333333,7,1761
"99",29,0.416091954022988,13,5384
"100",18,0.47953216374269,8,3759
