"","degree","density","marketsales","totalmarketsales"
"1",31,0.391129032258065,48,15195
"2",23,0.235507246376812,4,2984
"3",21,0.441558441558442,53,16600
"4",27,0.388888888888889,39,11441
"5",26,0.518518518518518,23,6734
"6",24,0.35,52,13735
"7",14,0.371428571428571,157,34283
"8",25,0.415384615384615,93,15905
"9",9,0.511111111111111,9,3365
"10",16,0.536764705882353,51,12123
"11",10,0.709090909090909,39,11712
"12",8,0.611111111111111,23,5331
"13",37,0.290184921763869,10,3955
"14",22,0.371541501976285,3,1520
"15",15,0.683333333333333,26,5798
"16",44,0.315151515151515,29,10481
"17",11,0.545454545454545,56,10492
"18",15,0.6,13,6054
"19",7,0.642857142857143,35,6836
"20",31,0.481854838709677,27,8897
"21",37,0.278805120910384,23,6939
"22",14,0.485714285714286,5,1708
"23",14,0.542857142857143,15,2334
"24",9,0.711111111111111,63,10306
"25",35,0.301587301587302,74,13399
"26",26,0.487179487179487,53,12765
"27",20,0.576190476190476,17,6109
"28",36,0.327327327327327,27,9972
"29",16,0.683823529411765,20,7153
"30",17,0.666666666666667,29,9881
"31",5,0.733333333333333,1,1101
"32",14,0.476190476190476,11,3362
"33",6,0.666666666666667,23,1784
"34",9,0.466666666666667,13,3764
"35",12,0.5,28,9654
"36",31,0.286290322580645,46,13599
"37",11,0.606060606060606,37,15262
"38",31,0.36491935483871,52,15548
"39",32,0.422348484848485,40,10270
"40",25,0.56,11,4468
"41",27,0.291005291005291,70,13373
"42",20,0.276190476190476,43,13498
"43",13,0.758241758241758,34,10994
"44",18,0.555555555555556,38,10785
"45",6,0.666666666666667,34,13052
"46",28,0.431034482758621,44,8985
"47",29,0.406896551724138,43,13514
"48",12,0.461538461538462,10,2444
"49",7,0.607142857142857,6,1776
"50",13,0.483516483516484,8,3425
"51",24,0.406666666666667,45,10772
"52",17,0.575163398692811,20,5618
"53",25,0.390769230769231,19,7170
"54",16,0.507352941176471,38,11033
"55",30,0.38494623655914,67,17537
"56",25,0.329230769230769,36,7030
"57",13,0.648351648351648,26,8510
"58",9,0.755555555555556,42,8954
"59",13,0.56043956043956,73,11699
"60",12,0.371794871794872,3,2185
"61",9,0.622222222222222,5,3141
"62",27,0.423280423280423,39,11548
"63",13,0.615384615384615,26,5089
"64",9,0.622222222222222,28,11241
"65",8,0.555555555555556,13,3097
"66",15,0.566666666666667,37,8611
"67",30,0.513978494623656,52,12484
"68",13,0.417582417582418,4,1055
"69",17,0.575163398692811,79,24725
"70",28,0.37192118226601,100,18355
"71",11,0.742424242424242,23,7903
"72",17,0.666666666666667,29,8290
"73",11,0.636363636363636,26,7732
"74",22,0.513833992094862,58,18910
"75",51,0.282051282051282,108,26464
"76",10,0.690909090909091,98,13235
"77",30,0.395698924731183,71,22198
"78",33,0.331550802139037,68,21979
"79",30,0.41505376344086,26,5429
"80",5,0.8,7,1652
"81",6,0.809523809523809,4,1433
"82",44,0.366666666666667,55,16124
"83",10,0.672727272727273,5,1909
"84",17,0.477124183006536,15,4414
"85",29,0.351724137931034,41,9073
"86",48,0.291666666666667,82,17441
"87",12,0.730769230769231,22,5855
"88",10,0.490909090909091,47,10361
"89",24,0.36,52,12622
"90",13,0.56043956043956,13,5082
"91",13,0.56043956043956,17,7794
"92",13,0.494505494505495,23,4458
"93",17,0.516339869281046,40,12551
"94",33,0.370766488413547,26,7592
"95",4,0.7,2,412
"96",13,0.494505494505495,68,15127
"97",7,0.785714285714286,16,4317
"98",34,0.373109243697479,69,17769
"99",13,0.43956043956044,24,6842
"100",19,0.510526315789474,33,10812
